ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002444	myeloid leukocyte mediated immunity	2/47	110/18614	0.0314770519193437	0.0737015539126281	0.0363910725984178	HMOX1/PTGDS	2
BP	GO:0010717	regulation of epithelial to mesenchymal transition	2/47	110/18614	0.0314770519193437	0.0737015539126281	0.0363910725984178	MDK/BMP4	2
BP	GO:0045445	myoblast differentiation	2/47	110/18614	0.0314770519193437	0.0737015539126281	0.0363910725984178	BMP4/MSTN	2
BP	GO:0071347	cellular response to interleukin-1	2/47	111/18614	0.0320038761093901	0.0741596408489943	0.0366172588058002	IL1R1/CX3CL1	2
BP	GO:0002024	diet induced thermogenesis	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	ADRB2	1
BP	GO:0006787	porphyrin-containing compound catabolic process	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	HMOX1	1
BP	GO:0021681	cerebellar granular layer development	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	MDK	1
BP	GO:0021978	telencephalon regionalization	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	BMP4	1
BP	GO:0030157	pancreatic juice secretion	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	NPR3	1
BP	GO:0033015	tetrapyrrole catabolic process	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	HMOX1	1
BP	GO:0033079	immature T cell proliferation	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	BMP4	1
BP	GO:0033080	immature T cell proliferation in thymus	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	BMP4	1
BP	GO:0033690	positive regulation of osteoblast proliferation	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	IGF1R	1
BP	GO:0043379	memory T cell differentiation	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	TNFSF4	1
BP	GO:0048853	forebrain morphogenesis	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	WNT5A	1
BP	GO:0051451	myoblast migration	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	MSTN	1
BP	GO:0060670	branching involved in labyrinthine layer morphogenesis	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	FGFR2	1
BP	GO:0070234	positive regulation of T cell apoptotic process	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	WNT5A	1
BP	GO:0071389	cellular response to mineralocorticoid stimulus	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	IGF1R	1
BP	GO:0072310	glomerular epithelial cell development	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	BMP4	1
BP	GO:0090177	establishment of planar polarity involved in neural tube closure	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	WNT5A	1
BP	GO:1901862	negative regulation of muscle tissue development	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	BMP4	1
BP	GO:1902065	response to L-glutamate	1/47	13/18614	0.0323423083792905	0.0741596408489943	0.0366172588058002	IGF1R	1
BP	GO:0007611	learning or memory	3/47	276/18614	0.032388211873359	0.0741880964834437	0.0366313091345126	PTN/MDK/NTF3	3
BP	GO:0007229	integrin-mediated signaling pathway	2/47	112/18614	0.0325341967059942	0.0742920058801825	0.0366826157108279	PTN/CD40LG	2
BP	GO:0032611	interleukin-1 beta production	2/47	112/18614	0.0325341967059942	0.0742920058801825	0.0366826157108279	WNT5A/CX3CL1	2
BP	GO:0032651	regulation of interleukin-1 beta production	2/47	112/18614	0.0325341967059942	0.0742920058801825	0.0366826157108279	WNT5A/CX3CL1	2
BP	GO:0032414	positive regulation of ion transmembrane transporter activity	2/47	113/18614	0.0330679935159667	0.0754331674952278	0.0372460786634391	GAL/ADRB2	2
BP	GO:0002526	acute inflammatory response	2/47	114/18614	0.033605246421943	0.0765011519266226	0.037773409457888	TNFSF4/VCAM1	2
BP	GO:0007173	epidermal growth factor receptor signaling pathway	2/47	114/18614	0.033605246421943	0.0765011519266226	0.037773409457888	EREG/HBEGF	2
BP	GO:0045165	cell fate commitment	3/47	281/18614	0.0338921935235304	0.0770751628897533	0.0380568346168249	FGFR2/WNT5A/BMP4	3
BP	GO:0050804	modulation of chemical synaptic transmission	4/47	487/18614	0.0340785073415652	0.0773403892588761	0.0381877934846013	PTN/WNT5A/CX3CL1/ADRB2	4
BP	GO:0022037	metencephalon development	2/47	115/18614	0.0341459353821423	0.0773403892588761	0.0381877934846013	MDK/IGF1R	2
BP	GO:0099177	regulation of trans-synaptic signaling	4/47	488/18614	0.0342979823668956	0.0773403892588761	0.0381877934846013	PTN/WNT5A/CX3CL1/ADRB2	4
BP	GO:0045582	positive regulation of T cell differentiation	2/47	116/18614	0.034690040430127	0.0773403892588761	0.0381877934846013	MDK/TNFSF4	2
BP	GO:0071346	cellular response to type II interferon	2/47	116/18614	0.034690040430127	0.0773403892588761	0.0381877934846013	WNT5A/CX3CL1	2
BP	GO:0014841	skeletal muscle satellite cell proliferation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	MSTN	1
BP	GO:0016322	neuron remodeling	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	CX3CL1	1
BP	GO:0021859	pyramidal neuron differentiation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	FGFR2	1
BP	GO:0032736	positive regulation of interleukin-13 production	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	TNFSF4	1
BP	GO:0033004	negative regulation of mast cell activation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	HMOX1	1
BP	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	PDGFA	1
BP	GO:0042541	hemoglobin biosynthetic process	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	INHBA	1
BP	GO:0043301	negative regulation of leukocyte degranulation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	HMOX1	1
BP	GO:0055057	neuroblast division	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	FGFR2	1
BP	GO:0061029	eyelid development in camera-type eye	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	INHBA	1
BP	GO:0071871	response to epinephrine	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	PENK	1
BP	GO:0090715	immunological memory formation process	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	TNFSF4	1
BP	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	PLXND1	1
BP	GO:1903798	regulation of miRNA maturation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	BMP4	1
BP	GO:1904044	response to aldosterone	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	IGF1R	1
BP	GO:1905522	negative regulation of macrophage migration	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	C5	1
BP	GO:2000288	positive regulation of myoblast proliferation	1/47	14/18614	0.0347873334589194	0.0773403892588761	0.0381877934846013	FGF7	1
BP	GO:0031348	negative regulation of defense response	3/47	284/18614	0.0348119043300675	0.0773403892588761	0.0381877934846013	TEK/MDK/CX3CL1	3
BP	GO:0007088	regulation of mitotic nuclear division	2/47	117/18614	0.0352375416745641	0.0780511548091594	0.0385387429472338	EREG/BMP4	2
BP	GO:0071887	leukocyte apoptotic process	2/47	117/18614	0.0352375416745641	0.0780511548091594	0.0385387429472338	WNT5A/BMP4	2
BP	GO:0090630	activation of GTPase activity	2/47	117/18614	0.0352375416745641	0.0780511548091594	0.0385387429472338	WNT5A/NTF3	2
BP	GO:0030510	regulation of BMP signaling pathway	2/47	118/18614	0.0357884192989856	0.0791921565906625	0.0391021269800158	WNT5A/BMP4	2
BP	GO:0016049	cell growth	4/47	495/18614	0.0358576696178396	0.0792662057919308	0.0391386897078846	INHBA/SLIT2/WNT5A/HBEGF	4
BP	GO:0002286	T cell activation involved in immune response	2/47	119/18614	0.036342653561551	0.0800546411851066	0.039527989635892	MDK/TNFSF4	2
BP	GO:0048675	axon extension	2/47	119/18614	0.036342653561551	0.0800546411851066	0.039527989635892	SLIT2/WNT5A	2
BP	GO:1903532	positive regulation of secretion by cell	3/47	289/18614	0.0363735386587352	0.0800546411851066	0.039527989635892	INHBA/GAL/VEGFC	3
BP	GO:0030326	embryonic limb morphogenesis	2/47	120/18614	0.0369002247948093	0.0800546411851066	0.039527989635892	WNT5A/BMP4	2
BP	GO:0035113	embryonic appendage morphogenesis	2/47	120/18614	0.0369002247948093	0.0800546411851066	0.039527989635892	WNT5A/BMP4	2
BP	GO:0010820	positive regulation of T cell chemotaxis	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:0032352	positive regulation of hormone metabolic process	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	IGF1R	1
BP	GO:0032905	transforming growth factor beta1 production	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	CX3CL1	1
BP	GO:0035641	locomotory exploration behavior	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	PENK	1
BP	GO:0042074	cell migration involved in gastrulation	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:0043455	regulation of secondary metabolic process	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:0045986	negative regulation of smooth muscle contraction	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	ADRB2	1
BP	GO:0048021	regulation of melanin biosynthetic process	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:0060026	convergent extension	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:0061307	cardiac neural crest cell differentiation involved in heart development	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:0061308	cardiac neural crest cell development involved in heart development	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:0071380	cellular response to prostaglandin E stimulus	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	TNFSF4	1
BP	GO:0071599	otic vesicle development	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	FGFR2	1
BP	GO:0072283	metanephric renal vesicle morphogenesis	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:0072498	embryonic skeletal joint development	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:0097531	mast cell migration	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	VEGFC	1
BP	GO:0098883	synapse pruning	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	CX3CL1	1
BP	GO:0150011	regulation of neuron projection arborization	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:1900376	regulation of secondary metabolite biosynthetic process	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:1901722	regulation of cell proliferation involved in kidney development	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	BMP4	1
BP	GO:2000052	positive regulation of non-canonical Wnt signaling pathway	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	WNT5A	1
BP	GO:2000671	regulation of motor neuron apoptotic process	1/47	15/18614	0.0372263117023295	0.0800546411851066	0.039527989635892	CRLF1	1
BP	GO:0043500	muscle adaptation	2/47	121/18614	0.0374611134054629	0.0804034556134693	0.0397002211630722	MSTN/HMOX1	2
BP	GO:0072089	stem cell proliferation	2/47	121/18614	0.0374611134054629	0.0804034556134693	0.0397002211630722	WNT5A/VEGFC	2
BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	3/47	293/18614	0.0376486718731852	0.080727791093035	0.0398603659002796	WNT5A/CX3CL1/HMOX1	3
BP	GO:0048562	embryonic organ morphogenesis	3/47	294/18614	0.0379710323553649	0.0812992656575295	0.0401425386803722	FGFR2/WNT5A/BMP4	3
BP	GO:0002698	negative regulation of immune effector process	2/47	122/18614	0.0380252998741312	0.0812992656575295	0.0401425386803722	TNFSF4/HMOX1	2
BP	GO:0072676	lymphocyte migration	2/47	122/18614	0.0380252998741312	0.0812992656575295	0.0401425386803722	WNT5A/CX3CL1	2
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2/47	123/18614	0.0385927647551152	0.0822742771247163	0.0406239629001213	IL1R1/TNFSF4	2
BP	GO:0042471	ear morphogenesis	2/47	123/18614	0.0385927647551152	0.0822742771247163	0.0406239629001213	FGFR2/WNT5A	2
BP	GO:0043244	regulation of protein-containing complex disassembly	2/47	123/18614	0.0385927647551152	0.0822742771247163	0.0406239629001213	ADRB2/IGF1R	2
BP	GO:0032411	positive regulation of transporter activity	2/47	124/18614	0.039163488676163	0.0829580178408975	0.0409615685097743	GAL/ADRB2	2
BP	GO:0007351	tripartite regional subdivision	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:0008595	anterior/posterior axis specification, embryo	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:0010819	regulation of T cell chemotaxis	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:0014857	regulation of skeletal muscle cell proliferation	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	MSTN	1
BP	GO:0016045	detection of bacterium	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	TLR1	1
BP	GO:0021783	preganglionic parasympathetic fiber development	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	ACKR3	1
BP	GO:0023035	CD40 signaling pathway	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	CD40LG	1
BP	GO:0034134	toll-like receptor 2 signaling pathway	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	TLR1	1
BP	GO:0042249	establishment of planar polarity of embryonic epithelium	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:0045187	regulation of circadian sleep/wake cycle, sleep	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	PTGDS	1
BP	GO:0070230	positive regulation of lymphocyte apoptotic process	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:0072044	collecting duct development	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	BMP4	1
BP	GO:0072176	nephric duct development	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	BMP4	1
BP	GO:0090030	regulation of steroid hormone biosynthetic process	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	IGF1R	1
BP	GO:1902033	regulation of hematopoietic stem cell proliferation	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	WNT5A	1
BP	GO:1902285	semaphorin-plexin signaling pathway involved in neuron projection guidance	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	PLXND1	1
BP	GO:2000637	positive regulation of miRNA-mediated gene silencing	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	BMP4	1
BP	GO:2000846	regulation of corticosteroid hormone secretion	1/47	16/18614	0.0396592577397505	0.0829580178408975	0.0409615685097743	GAL	1
BP	GO:0001952	regulation of cell-matrix adhesion	2/47	125/18614	0.0397374523382358	0.0829580178408975	0.0409615685097743	TEK/CX3CL1	2
BP	GO:0002456	T cell mediated immunity	2/47	125/18614	0.0397374523382358	0.0829580178408975	0.0409615685097743	IL1R1/TNFSF4	2
BP	GO:0031623	receptor internalization	2/47	125/18614	0.0397374523382358	0.0829580178408975	0.0409615685097743	ACKR3/NTF3	2
BP	GO:0030217	T cell differentiation	3/47	300/18614	0.0399351470379912	0.0832922322873357	0.0411265911115798	MDK/BMP4/TNFSF4	3
BP	GO:0001838	embryonic epithelial tube formation	2/47	126/18614	0.0403146365152742	0.0837682175247021	0.041361614831016	WNT5A/BMP4	2
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	2/47	126/18614	0.0403146365152742	0.0837682175247021	0.041361614831016	IL1R1/TNFSF4	2
BP	GO:0019730	antimicrobial humoral response	2/47	126/18614	0.0403146365152742	0.0837682175247021	0.041361614831016	GNLY/CXCL1	2
BP	GO:0021987	cerebral cortex development	2/47	126/18614	0.0403146365152742	0.0837682175247021	0.041361614831016	SLIT2/MDK	2
BP	GO:0003014	renal system process	2/47	127/18614	0.0408950220539661	0.0847357098686014	0.0418393263887261	BMP4/NPR3	2
BP	GO:0048593	camera-type eye morphogenesis	2/47	127/18614	0.0408950220539661	0.0847357098686014	0.0418393263887261	WNT5A/BMP4	2
BP	GO:0090288	negative regulation of cellular response to growth factor stimulus	2/47	127/18614	0.0408950220539661	0.0847357098686014	0.0418393263887261	SLIT2/WNT5A	2
BP	GO:0051054	positive regulation of DNA metabolic process	3/47	303/18614	0.0409363994176929	0.0847421726263456	0.0418425174569434	EREG/IGF1R/TNFSF4	3
BP	GO:0008286	insulin receptor signaling pathway	2/47	128/18614	0.0414785898735145	0.0853671267028003	0.0421510964211522	IGF1R/MSTN	2
BP	GO:0002821	positive regulation of adaptive immune response	2/47	129/18614	0.0420653209654058	0.0853671267028003	0.0421510964211522	IL1R1/TNFSF4	2
BP	GO:0032874	positive regulation of stress-activated MAPK cascade	2/47	129/18614	0.0420653209654058	0.0853671267028003	0.0421510964211522	WNT5A/BMP4	2
BP	GO:0016114	terpenoid biosynthetic process	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	RBP1	1
BP	GO:0016202	regulation of striated muscle tissue development	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:0021542	dentate gyrus development	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	MDK	1
BP	GO:0031649	heat generation	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	ADRB2	1
BP	GO:0032274	gonadotropin secretion	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	INHBA	1
BP	GO:0042481	regulation of odontogenesis	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:0045198	establishment of epithelial cell apical/basal polarity	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	WNT5A	1
BP	GO:0045836	positive regulation of meiotic nuclear division	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	WNT5A	1
BP	GO:0048557	embryonic digestive tract morphogenesis	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	FGFR2	1
BP	GO:0060148	positive regulation of post-transcriptional gene silencing	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:0072109	glomerular mesangium development	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:0072189	ureter development	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:0090713	immunological memory process	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	TNFSF4	1
BP	GO:0097154	GABAergic neuron differentiation	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	INHBA	1
BP	GO:0110096	cellular response to aldehyde	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	IGF1R	1
BP	GO:1900006	positive regulation of dendrite development	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	PTN	1
BP	GO:1900370	positive regulation of post-transcriptional gene silencing by RNA	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	BMP4	1
BP	GO:1901096	regulation of autophagosome maturation	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	ADRB2	1
BP	GO:1904948	midbrain dopaminergic neuron differentiation	1/47	17/18614	0.0420861861667982	0.0853671267028003	0.0421510964211522	WNT5A	1
BP	GO:0071375	cellular response to peptide hormone stimulus	3/47	308/18614	0.0426334595944367	0.0862055292070191	0.0425650682409851	INHBA/IGF1R/MSTN	3
BP	GO:0030833	regulation of actin filament polymerization	2/47	130/18614	0.0426551963931797	0.0862055292070191	0.0425650682409851	ELN/SLIT2	2
BP	GO:0045621	positive regulation of lymphocyte differentiation	2/47	130/18614	0.0426551963931797	0.0862055292070191	0.0425650682409851	MDK/TNFSF4	2
BP	GO:0050864	regulation of B cell activation	2/47	130/18614	0.0426551963931797	0.0862055292070191	0.0425650682409851	INHBA/TNFSF4	2
BP	GO:0032612	interleukin-1 production	2/47	131/18614	0.043248197292199	0.0870861427292916	0.0429998822838228	WNT5A/CX3CL1	2
BP	GO:0032652	regulation of interleukin-1 production	2/47	131/18614	0.043248197292199	0.0870861427292916	0.0429998822838228	WNT5A/CX3CL1	2
BP	GO:0038127	ERBB signaling pathway	2/47	131/18614	0.043248197292199	0.0870861427292916	0.0429998822838228	EREG/HBEGF	2
BP	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	2/47	131/18614	0.043248197292199	0.0870861427292916	0.0429998822838228	WNT5A/BMP4	2
BP	GO:0002244	hematopoietic progenitor cell differentiation	2/47	132/18614	0.0438443048694203	0.0873965000631124	0.0431531251351188	INHBA/BMP4	2
BP	GO:0060070	canonical Wnt signaling pathway	3/47	313/18614	0.0443657404826563	0.0873965000631124	0.0431531251351188	FGFR2/MDK/WNT5A	3
BP	GO:0030168	platelet activation	2/47	133/18614	0.0444435004031652	0.0873965000631124	0.0431531251351188	PDGFA/CD40LG	2
BP	GO:0001710	mesodermal cell fate commitment	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:0001946	lymphangiogenesis	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	VEGFC	1
BP	GO:0002827	positive regulation of T-helper 1 type immune response	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	IL1R1	1
BP	GO:0002830	positive regulation of type 2 immune response	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	TNFSF4	1
BP	GO:0003159	morphogenesis of an endothelium	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:0006957	complement activation, alternative pathway	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	C5	1
BP	GO:0020027	hemoglobin metabolic process	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	INHBA	1
BP	GO:0035455	response to interferon-alpha	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	IFITM1	1
BP	GO:0043116	negative regulation of vascular permeability	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	SLIT2	1
BP	GO:0045064	T-helper 2 cell differentiation	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	TNFSF4	1
BP	GO:0045623	negative regulation of T-helper cell differentiation	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	TNFSF4	1
BP	GO:0045945	positive regulation of transcription by RNA polymerase III	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	INHBA	1
BP	GO:0048339	paraxial mesoderm development	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	WNT5A	1
BP	GO:0048486	parasympathetic nervous system development	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	ACKR3	1
BP	GO:0050802	circadian sleep/wake cycle, sleep	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	PTGDS	1
BP	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	NAMPT	1
BP	GO:0061154	endothelial tube morphogenesis	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:0071071	regulation of phospholipid biosynthetic process	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	PDGFA	1
BP	GO:0071397	cellular response to cholesterol	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	INHBA	1
BP	GO:0072077	renal vesicle morphogenesis	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:0097094	craniofacial suture morphogenesis	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:0150079	negative regulation of neuroinflammatory response	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	CX3CL1	1
BP	GO:1905209	positive regulation of cardiocyte differentiation	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:2000136	regulation of cell proliferation involved in heart morphogenesis	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	BMP4	1
BP	GO:2001224	positive regulation of neuron migration	1/47	18/18614	0.0445071115445557	0.0873965000631124	0.0431531251351188	MDK	1
BP	GO:0050890	cognition	3/47	317/18614	0.0457767916564941	0.0897306137337473	0.0443056232241243	PTN/MDK/NTF3	3
BP	GO:0051047	positive regulation of secretion	3/47	317/18614	0.0457767916564941	0.0897306137337473	0.0443056232241243	INHBA/GAL/VEGFC	3
BP	GO:0061041	regulation of wound healing	2/47	137/18614	0.0468707901548446	0.0902190427128765	0.0445467911981365	PDGFA/HBEGF	2
BP	GO:0007194	negative regulation of adenylate cyclase activity	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	NPR3	1
BP	GO:0010544	negative regulation of platelet activation	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	PDGFA	1
BP	GO:0010738	regulation of protein kinase A signaling	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	ADRB2	1
BP	GO:0030540	female genitalia development	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	WNT5A	1
BP	GO:0030903	notochord development	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	WNT5A	1
BP	GO:0032026	response to magnesium ion	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	CD14	1
BP	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	IL1R1	1
BP	GO:0035930	corticosteroid hormone secretion	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	GAL	1
BP	GO:0036342	post-anal tail morphogenesis	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	WNT5A	1
BP	GO:0043031	negative regulation of macrophage activation	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	CX3CL1	1
BP	GO:0045603	positive regulation of endothelial cell differentiation	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	BMP4	1
BP	GO:0060039	pericardium development	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	WNT5A	1
BP	GO:0060391	positive regulation of SMAD protein signal transduction	1/47	19/18614	0.0469220483996541	0.0902190427128765	0.0445467911981365	BMP4	1
